Index,Hatch_Distance,Laser_Power,Scan_Speed,Layer_Thickness,ED,TE,Density
109,0.19336,324,1297,0.025,51.67713022,0.249807247,99.994
110,0.15724,73,1232,0.025,15.07332657,0.059253247,38.739
111,0.09591,296,1454,0.025,84.9030721,0.203576341,99.995
112,0.18834,120,1489,0.025,17.11606683,0.080591001,66.997
113,0.0757,148,408,0.025,191.6750848,0.362745098,93.981
114,0.14412,338,577,0.025,162.5835586,0.585788562,98.414
115,0.18463,292,1668,0.025,37.92665375,0.175059952,99.995
116,0.13056,76,1558,0.025,14.94500239,0.048780488,46.971
117,0.10047,70,693,0.025,40.21502976,0.101010101,83.208
118,0.12499,115,782,0.025,47.06258854,0.147058824,99.804
119,0.17225,303,1509,0.025,46.62879039,0.200795229,99.993
120,0.17886,165,1333,0.025,27.6821973,0.123780945,99.088
121,0.08982,207,668,0.025,138.000552,0.30988024,95.821
122,0.1432,86,583,0.025,41.20471075,0.147512864,92.585
123,0.13467,307,1534,0.025,59.4431954,0.200130378,99.989
124,0.19482,207,1471,0.025,28.89243368,0.140720598,99.898
125,0.05262,120,1155,0.025,78.97841421,0.103896104,99.992
126,0.13357,306,953,0.025,96.15670904,0.321091291,99.818
127,0.11519,72,478,0.025,52.30579566,0.150627615,92.66
128,0.17193,252,1347,0.025,43.52524989,0.187082405,99.996
129,0.17065,99,534,0.025,43.45578867,0.185393258,96.576
130,0.13505,320,1463,0.025,64.7844916,0.21872864,99.993
131,0.18015,265,1507,0.025,39.04436342,0.175846052,99.999
132,0.11364,342,1099,0.025,109.5360763,0.311191993,99.904
133,0.1058,198,1424,0.025,52.56897687,0.139044944,99.987
134,0.18367,234,839,0.025,60.74012228,0.278903456,99.884
135,0.10093,192,454,0.025,167.6042758,0.422907489,97.173
136,0.14549,202,1145,0.025,48.50346112,0.176419214,99.98
137,0.11086,280,1588,0.025,63.61985139,0.176322418,99.986
138,0.17208,192,1642,0.025,27.18051429,0.116930572,99.817
139,0.10617,186,1025,0.025,68.36711487,0.181463415,99.959
140,0.15886,58,374,0.025,39.04827242,0.155080214,64.196
141,0.10521,333,1088,0.025,116.3639108,0.306066176,99.618
142,0.12945,345,1238,0.025,86.11055472,0.278675283,99.867
143,0.1356,211,644,0.025,96.64889426,0.327639752,97.836
144,0.1008,157,776,0.025,80.28555065,0.202319588,97.382
145,0.07383,55,977,0.025,30.4996776,0.05629478,34.532
146,0.15659,204,1241,0.025,41.99081976,0.164383562,99.981
